Epoch: [1][0/185]       \Time 22.470 (22.470)   Data 0.531 (0.531)      Loss 5.3273 (5.3273)    Prec@1 0.000 (0.000)    Prec@5 2.344 (2.344)
Epoch: [1][1/185]       \Time 22.075 (22.272)   Data 0.547 (0.539)      Loss 40.6473 (22.9873)  Prec@1 0.781 (0.391)    Prec@5 3.906 (3.125)
Epoch: [1][2/185]       \Time 21.932 (22.159)   Data 0.595 (0.558)      Loss 41.4524 (29.1423)  Prec@1 1.562 (0.781)    Prec@5 5.469 (3.906)
Epoch: [1][3/185]       \Time 22.005 (22.120)   Data 0.569 (0.561)      Loss 47.9019 (33.8322)  Prec@1 0.000 (0.586)    Prec@5 2.344 (3.516)
Epoch: [1][4/185]       \Time 21.904 (22.077)   Data 0.602 (0.569)      Loss 20.1990 (31.1056)  Prec@1 0.000 (0.469)    Prec@5 4.688 (3.750)
Epoch: [1][5/185]       \Time 22.150 (22.089)   Data 0.567 (0.569)      Loss 12.5071 (28.0058)  Prec@1 2.344 (0.781)    Prec@5 5.469 (4.036)
Epoch: [1][6/185]       \Time 22.060 (22.085)   Data 0.600 (0.573)      Loss 8.4435 (25.2112)   Prec@1 0.000 (0.670)    Prec@5 6.250 (4.353)
Epoch: [1][7/185]       \Time 22.258 (22.106)   Data 0.605 (0.577)      Loss 9.7026 (23.2726)   Prec@1 0.781 (0.684)    Prec@5 2.344 (4.102)
Epoch: [1][8/185]       \Time 22.193 (22.116)   Data 0.585 (0.578)      Loss 7.8993 (21.5645)   Prec@1 1.562 (0.781)    Prec@5 7.812 (4.514)
Epoch: [1][9/185]       \Time 22.307 (22.135)   Data 0.567 (0.577)      Loss 5.8255 (19.9906)   Prec@1 0.781 (0.781)    Prec@5 2.344 (4.297)
Epoch: [1][10/185]      \Time 22.173 (22.139)   Data 0.549 (0.574)      Loss 5.7604 (18.6969)   Prec@1 0.781 (0.781)    Prec@5 3.906 (4.261)
Epoch: [1][11/185]      \Time 21.794 (22.110)   Data 0.575 (0.574)      Loss 5.5057 (17.5977)   Prec@1 0.000 (0.716)    Prec@5 3.906 (4.232)
Epoch: [1][12/185]      \Time 22.112 (22.110)   Data 0.608 (0.577)      Loss 5.3666 (16.6568)   Prec@1 0.000 (0.661)    Prec@5 2.344 (4.087)
Epoch: [1][13/185]      \Time 22.215 (22.118)   Data 0.576 (0.577)      Loss 5.3448 (15.8488)   Prec@1 0.781 (0.670)    Prec@5 4.688 (4.129)
Epoch: [1][14/185]      \Time 22.312 (22.131)   Data 0.614 (0.579)      Loss 5.2567 (15.1427)   Prec@1 2.344 (0.781)    Prec@5 4.688 (4.167)
Epoch: [1][15/185]      \Time 21.970 (22.121)   Data 0.560 (0.578)      Loss 5.1414 (14.5176)   Prec@1 2.344 (0.879)    Prec@5 8.594 (4.443)
Epoch: [1][16/185]      \Time 22.189 (22.125)   Data 0.593 (0.579)      Loss 5.4899 (13.9866)   Prec@1 1.562 (0.919)    Prec@5 5.469 (4.504)
Epoch: [1][17/185]      \Time 21.886 (22.111)   Data 0.577 (0.579)      Loss 5.3239 (13.5053)   Prec@1 0.781 (0.911)    Prec@5 2.344 (4.384)
Epoch: [1][18/185]      \Time 22.092 (22.110)   Data 0.596 (0.580)      Loss 5.4033 (13.0789)   Prec@1 0.781 (0.905)    Prec@5 4.688 (4.400)
Epoch: [1][19/185]      \Time 21.923 (22.101)   Data 0.588 (0.580)      Loss 5.1831 (12.6841)   Prec@1 3.125 (1.016)    Prec@5 5.469 (4.453)
Epoch: [1][20/185]      \Time 21.951 (22.094)   Data 0.565 (0.580)      Loss 5.2041 (12.3279)   Prec@1 0.781 (1.004)    Prec@5 4.688 (4.464)
Epoch: [1][21/185]      \Time 21.988 (22.089)   Data 0.592 (0.580)      Loss 5.2972 (12.0083)   Prec@1 0.781 (0.994)    Prec@5 2.344 (4.368)
Epoch: [1][22/185]      \Time 22.076 (22.088)   Data 0.583 (0.580)      Loss 5.1784 (11.7114)   Prec@1 0.781 (0.985)    Prec@5 4.688 (4.382)
Epoch: [1][23/185]      \Time 22.113 (22.089)   Data 0.573 (0.580)      Loss 5.1862 (11.4395)   Prec@1 1.562 (1.009)    Prec@5 4.688 (4.395)
Epoch: [1][24/185]      \Time 22.179 (22.093)   Data 0.606 (0.581)      Loss 5.4508 (11.1999)   Prec@1 0.000 (0.969)    Prec@5 2.344 (4.312)
Epoch: [1][25/185]      \Time 22.000 (22.089)   Data 0.592 (0.581)      Loss 5.2517 (10.9712)   Prec@1 0.781 (0.962)    Prec@5 5.469 (4.357)
Epoch: [1][26/185]      \Time 22.124 (22.091)   Data 0.574 (0.581)      Loss 5.2402 (10.7589)   Prec@1 1.562 (0.984)    Prec@5 4.688 (4.369)
Epoch: [1][27/185]      \Time 22.115 (22.092)   Data 0.600 (0.582)      Loss 5.1912 (10.5601)   Prec@1 0.781 (0.977)    Prec@5 7.812 (4.492)
Epoch: [1][28/185]      \Time 22.113 (22.092)   Data 0.621 (0.583)      Loss 5.2178 (10.3758)   Prec@1 0.781 (0.970)    Prec@5 4.688 (4.499)
Epoch: [1][29/185]      \Time 22.442 (22.104)   Data 0.586 (0.583)      Loss 5.2826 (10.2061)   Prec@1 0.000 (0.938)    Prec@5 3.906 (4.479)
Epoch: [1][30/185]      \Time 22.038 (22.102)   Data 0.565 (0.583)      Loss 5.1718 (10.0437)   Prec@1 2.344 (0.983)    Prec@5 7.031 (4.561)
Epoch: [1][31/185]      \Time 22.073 (22.101)   Data 0.577 (0.582)      Loss 5.1933 (9.8921)    Prec@1 2.344 (1.025)    Prec@5 6.250 (4.614)
Epoch: [1][32/185]      \Time 21.980 (22.097)   Data 0.591 (0.583)      Loss 5.2289 (9.7508)    Prec@1 0.000 (0.994)    Prec@5 3.125 (4.569)
Epoch: [1][33/185]      \Time 22.817 (22.118)   Data 0.581 (0.583)      Loss 5.2216 (9.6176)    Prec@1 1.562 (1.011)    Prec@5 4.688 (4.573)
Epoch: [1][34/185]      \Time 24.644 (22.191)   Data 0.593 (0.583)      Loss 5.2405 (9.4925)    Prec@1 1.562 (1.027)    Prec@5 3.906 (4.554)
Epoch: [1][35/185]      \Time 24.495 (22.255)   Data 0.614 (0.584)      Loss 5.1361 (9.3715)    Prec@1 0.781 (1.020)    Prec@5 4.688 (4.557)
Epoch: [1][36/185]      \Time 23.852 (22.298)   Data 0.605 (0.584)      Loss 5.2551 (9.2602)    Prec@1 0.000 (0.992)    Prec@5 6.250 (4.603)
Epoch: [1][37/185]      \Time 22.268 (22.297)   Data 0.575 (0.584)      Loss 5.2049 (9.1535)    Prec@1 2.344 (1.028)    Prec@5 5.469 (4.626)
Epoch: [1][38/185]      \Time 22.043 (22.290)   Data 0.574 (0.584)      Loss 5.2413 (9.0532)    Prec@1 2.344 (1.062)    Prec@5 4.688 (4.627)
Epoch: [1][39/185]      \Time 22.186 (22.288)   Data 0.577 (0.584)      Loss 5.2217 (8.9574)    Prec@1 3.125 (1.113)    Prec@5 7.812 (4.707)
Epoch: [1][40/185]      \Time 22.281 (22.288)   Data 0.564 (0.583)      Loss 5.1815 (8.8653)    Prec@1 2.344 (1.143)    Prec@5 4.688 (4.707)
Epoch: [1][41/185]      \Time 22.144 (22.284)   Data 0.594 (0.583)      Loss 5.2564 (8.7794)    Prec@1 0.781 (1.135)    Prec@5 5.469 (4.725)
Epoch: [1][42/185]      \Time 22.195 (22.282)   Data 0.591 (0.584)      Loss 5.1845 (8.6958)    Prec@1 1.562 (1.145)    Prec@5 3.906 (4.706)
Epoch: [1][43/185]      \Time 22.143 (22.279)   Data 0.593 (0.584)      Loss 5.2280 (8.6170)    Prec@1 0.781 (1.136)    Prec@5 6.250 (4.741)
Epoch: [1][44/185]      \Time 22.203 (22.277)   Data 0.556 (0.583)      Loss 5.1592 (8.5401)    Prec@1 0.781 (1.128)    Prec@5 3.906 (4.722)
Epoch: [1][45/185]      \Time 22.061 (22.273)   Data 0.605 (0.584)      Loss 5.0659 (8.4646)    Prec@1 3.125 (1.172)    Prec@5 7.812 (4.789)
Epoch: [1][46/185]      \Time 22.204 (22.271)   Data 0.597 (0.584)      Loss 5.3346 (8.3980)    Prec@1 2.344 (1.197)    Prec@5 3.906 (4.771)
Epoch: [1][47/185]      \Time 21.936 (22.264)   Data 0.579 (0.584)      Loss 5.2730 (8.3329)    Prec@1 0.000 (1.172)    Prec@5 3.125 (4.736)
Epoch: [1][48/185]      \Time 22.021 (22.259)   Data 0.565 (0.584)      Loss 5.0843 (8.2666)    Prec@1 2.344 (1.196)    Prec@5 8.594 (4.815)
Epoch: [1][49/185]      \Time 22.017 (22.254)   Data 0.574 (0.583)      Loss 5.2153 (8.2056)    Prec@1 0.781 (1.188)    Prec@5 3.125 (4.781)
